"","TABLE 5.11:  ROYALTY RECEIVED BY PEAK, 2018"
S.N,Peak Group Pax Royalty (US$)
1,"Mt. Cholatse 14 47 5,768.00"
2,"Kyazo Ri 17 43 5,890.00"
3,"Mt. Nirekha 7 21 3,375.00"
4,"Mt. Langsisa Ri 3 15 2,125.00"
5,Mt. Ombigaichen 2 2 375.00
6,"Mt. Bokta 2 6 1,000.00"
7,Mt. Chekigo 0 0 -
8,Mt. Phari Lapcha 1 1 125.00
9,"Mt. Lobuje West 21 80 16,390.00"
10,"Mt. Larkya Peak 20 60 8,911.00"
11,"Mt. ABI 1 12 1,500.00"
12,"Mt. Yubra Himal 1 11 1,375.00"
13,Hiunchuli 0 0 -
14,"Singu Chuli (Flulted Peak) 8 14 3,423.00"
15,"Mera Peak 442 1792 295,146.00"
16,Kusum Kangru 1 2 500.00
17,"Kwangde 3 7 1,250.00"
18,"Chulu West 34 105 16,917.00"
19,"Chulu East 30 111 23,283.00"
20,"Imja Tse (Island Peak) 707 2921 484,984.00"
21,"Pharchamo 38 127 16,420.00"
22,"Lobuje  241 899 157,130.00"
23,"Ramdung 5 27 3,232.00"
24,"Pisang 22 40 6,057.00"
25,Kongma Tse (Mehara Peak) 0 0 -
26,"Ganja-la Chuli (Naya Kanga) 13 33 6,140.00"
27,"Paldor Peak 4 10 1,500.00"
"","Total 1637 6386 1,062,816.00"
