"",,,,,,,Month,,
Nationality,Year,,,,,,,,
"",,Jan.,Feb.,Mar.,Apr.,May,Jun. Jul.,Aug.,Sep.
"",2016,"6,896","7,980","8,588","8,622","6,998","6,644 7,573","7,890","10,066"
China,2017,9727,9499,10458,8601,7309,6490 5823,"7,349","8,351"
"",2018,12027,15394,13558,12554,9148,8696 13122,12048,12934
"",2016,748,"1,122","1,905","2,432",889,"591 1,226","1,162","1,907"
France,2017,942,1566,2697,3451,1203,852 1025,"1,073","1,991"
"",2018,1160,1863,3260,4453,1525,736 1620,1349,2362
"",2016,808,"1,660","3,250","2,038","1,318",599 797,"1,158","2,552"
Germany,,,,,,,,,
"",2017,1014,2243,4192,3891,1380,779 711,"1,192","2,883"
"",2018,1301,2617,6122,3428,2055,993 1094,1572,3775
"",2016,"5,672","6,549","7,849","9,383","12,351","12,420 10,618","11,417","10,527"
India,2017,10547,11196,12729,14595,20011,20118 10193,"14,057","8,915"
"",2018,12152,7570,14411,16612,21385,21623 16888,18327,15396
"",2016,288,392,624,797,694,281 589,"1,579",872
Italy,2017,511,694,821,1308,682,431 509,"1,634",824
"",2018,707,912,1237,1333,683,447 967,2193,1116
