"",,,,,,,Mont
Nationality,Year,,,,,,
"",,Jan.,Feb.,Mar.,Apr.,May,Jun.
"",2016,"1,660","1,648",354,"2,416","1,233","1,037"
Australia,2017,2735,2386,3141,3707,1692,1532
"",2018,2689,2537,3605,3805,1903,1619
"",2016,"1,187","1,418","1,721","1,567","2,000","1,175"
Bangladesh,2017,2028,2124,2901,2758,2349,3
"",2018,2743,3236,2946,2028,1191,1850
"",2016,676,961,"1,283","1,173",895,528
Canada,2017,911,1305,1784,1693,1117,667
"",2018,955,1511,2086,1827,1174,805
